2020/05/30 04:05:48

,F1,F2,F3
2019,Fukuoka,M1,M2
,,P1,P2
2019/1/1,6.8,8,1
2019/1/2,6.0,8,1
2019/1/3,5.4,8,1
2019/1/4,6.9,8,1
2019/1/5,8.2,8,1
2019/1/6,8.6,8,1
2019/1/7,7.9,8,1
2019/1/8,8.4,8,1
2019/1/9,7.0,8,1
2019/1/10,6.9,8,1
2019/1/11,8.4,8,1
2019/1/12,9.8,8,1
2019/1/13,10.6,8,1
2019/1/14,9.1,8,1
2019/1/15,9.1,8,1
2019/1/16,6.2,8,1
2019/1/17,6.1,8,1
2019/1/18,7.8,8,1
2019/1/19,9.1,8,1
2019/1/20,11.5,8,1
2019/1/21,7.7,8,1
2019/1/22,8.6,8,1
2019/1/23,9.6,8,1
2019/1/24,9.2,8,1
2019/1/25,8.6,8,1
2019/1/26,5.4,8,1
2019/1/27,5.3,8,1
2019/1/28,8.2,8,1
2019/1/29,7.7,8,1
2019/1/30,8.9,8,1
2019/1/31,8.3,8,1
2019/2/1,6.2,8,1
2019/2/2,7.7,8,1
2019/2/3,13.6,8,1
2019/2/4,10.3,8,1
2019/2/5,10.1,8,1
2019/2/6,11.9,8,1
2019/2/7,11.0,8,1
2019/2/8,8.3,8,1
2019/2/9,6.6,8,1
2019/2/10,8.4,8,1
2019/2/11,7.6,8,1
2019/2/12,6.7,8,1
2019/2/13,8.5,8,1
2019/2/14,7.9,8,1
2019/2/15,6.9,8,1
2019/2/16,8.1,8,1
2019/2/17,7.0,8,1
2019/2/18,8.1,8,1
2019/2/19,13.6,8,1
2019/2/20,10.6,8,1
2019/2/21,10.3,8,1
2019/2/22,10.2,8,1
2019/2/23,11.4,8,1
2019/2/24,9.8,8,1
2019/2/25,10.8,8,1
2019/2/26,11.1,8,1
2019/2/27,10.6,8,1
2019/2/28,10.9,8,1
2019/3/1,11.3,8,1
2019/3/2,10.2,8,1
2019/3/3,10.2,8,1
2019/3/4,10.8,8,1
2019/3/5,11.5,8,1
2019/3/6,11.0,8,1
2019/3/7,10.3,8,1
2019/3/8,9.7,8,1
2019/3/9,11.7,8,1
2019/3/10,11.6,8,1
2019/3/11,13.0,8,1
2019/3/12,11.9,8,1
2019/3/13,9.4,8,1
2019/3/14,9.1,8,1
2019/3/15,9.7,8,1
2019/3/16,10.0,8,1
2019/3/17,11.5,8,1
2019/3/18,10.9,8,1
2019/3/19,11.8,8,1
2019/3/20,15.0,8,1
2019/3/21,17.8,8,1
2019/3/22,13.3,8,1
2019/3/23,10.7,8,1
2019/3/24,9.7,8,1
2019/3/25,9.6,8,1
2019/3/26,13.2,8,1
2019/3/27,15.8,8,1
2019/3/28,15.8,8,1
2019/3/29,16.0,8,1
2019/3/30,15.8,8,1
2019/3/31,10.5,8,1
2019/4/1,9.8,8,1
2019/4/2,11.3,8,1
2019/4/3,10.6,8,1
2019/4/4,12.9,8,1
2019/4/5,15.2,8,1
2019/4/6,16.0,8,1
2019/4/7,16.4,8,1
2019/4/8,16.0,8,1
2019/4/9,15.7,8,1
2019/4/10,14.0,8,1
2019/4/11,12.4,8,1
2019/4/12,12.9,8,1
2019/4/13,13.7,8,1
2019/4/14,13.9,8,1
2019/4/15,13.8,8,1
2019/4/16,16.2,8,1
2019/4/17,17.5,8,1
2019/4/18,18.0,8,1
2019/4/19,16.6,8,1
2019/4/20,16.8,8,1
2019/4/21,18.5,8,1
2019/4/22,19.1,8,1
2019/4/23,19.0,8,1
2019/4/24,20.8,8,1
2019/4/25,17.7,8,1
2019/4/26,15.4,8,1
2019/4/27,14.2,8,1
2019/4/28,14.4,8,1
2019/4/29,16.1,8,1
2019/4/30,16.6,8,1
2019/5/1,16.6,8,1
2019/5/2,17.9,8,1
2019/5/3,18.3,8,1
2019/5/4,19.3,8,1
2019/5/5,20.7,8,1
2019/5/6,18.8,8,1
2019/5/7,16.4,8,1
2019/5/8,17.2,8,1
2019/5/9,18.1,8,1
2019/5/10,19.7,8,1
2019/5/11,20.5,8,1
2019/5/12,20.3,8,1
2019/5/13,21.0,8,1
2019/5/14,23.1,8,1
2019/5/15,24.1,8,1
2019/5/16,23.7,8,1
2019/5/17,24.4,8,1
2019/5/18,21.4,8,1
2019/5/19,23.9,8,1
2019/5/20,21.0,8,1
2019/5/21,19.2,8,1
2019/5/22,20.9,8,1
2019/5/23,23.5,8,1
2019/5/24,25.3,8,1
2019/5/25,25.0,8,1
2019/5/26,25.1,8,1
2019/5/27,23.6,8,1
2019/5/28,20.5,8,1
2019/5/29,22.3,8,1
2019/5/30,22.7,8,1
2019/5/31,19.9,8,1
2019/6/1,21.8,8,1
2019/6/2,22.8,8,1
2019/6/3,24.2,8,1
2019/6/4,24.9,8,1
2019/6/5,25.3,8,1
2019/6/6,25.1,8,1
2019/6/7,24.9,8,1
2019/6/8,21.1,8,1
2019/6/9,21.4,8,1
2019/6/10,21.6,8,1
2019/6/11,21.1,8,1
2019/6/12,21.2,8,1
2019/6/13,22.6,8,1
2019/6/14,22.6,8,1
2019/6/15,20.2,8,1
2019/6/16,21.7,8,1
2019/6/17,22.2,8,1
2019/6/18,22.2,8,1
2019/6/19,23.2,8,1
2019/6/20,24.8,8,1
2019/6/21,25.8,8,1
2019/6/22,23.5,8,1
2019/6/23,22.0,8,1
2019/6/24,22.5,8,1
2019/6/25,24.5,8,1
2019/6/26,24.9,8,1
2019/6/27,26.4,8,1
2019/6/28,25.1,8,1
2019/6/29,27.0,8,1
2019/6/30,25.9,8,1
2019/7/1,23.9,8,1
2019/7/2,23.3,8,1
2019/7/3,23.3,8,1
2019/7/4,24.6,8,1
2019/7/5,24.4,8,1
2019/7/6,25.3,8,1
2019/7/7,24.3,8,1
2019/7/8,24.8,8,1
2019/7/9,24.4,8,1
2019/7/10,25.2,8,1
2019/7/11,27.3,8,1
2019/7/12,25.2,8,1
2019/7/13,22.1,8,1
2019/7/14,23.0,8,1
2019/7/15,24.7,8,1
2019/7/16,25.2,8,1
2019/7/17,25.9,8,1
2019/7/18,25.0,8,1
2019/7/19,26.6,8,1
2019/7/20,26.5,8,1
2019/7/21,26.2,8,1
2019/7/22,28.2,8,1
2019/7/23,28.4,8,1
